ID,Trial n,Feedback type,Feedback angle,Power [4-12],Power [1-3],Group
c301,0,vo,low,2.1289943888735368e-07,1.4814514967775427e-05,c
c301,1,vo,low,1.7930037839603644e-07,1.2218345219142632e-05,c
c301,2,vo,high,6.293411606762422e-07,1.528191852672092e-05,c
c301,3,vo,high,6.15198642552524e-07,2.1552908437924785e-05,c
c301,4,va,low,3.387266081857108e-07,1.3559610710045992e-05,c
c301,5,va,low,1.983018099450317e-07,1.4586165198895412e-05,c
c301,6,va,high,5.940701221927925e-07,1.7461111059249543e-05,c
c301,7,va,high,5.80209928861175e-07,1.5246977338454412e-05,c
c301,8,ao,low,4.015648211826255e-06,0.00016261102145339988,c
c301,9,ao,low,4.204474326871555e-06,0.00018905960309920593,c
c301,10,ao,high,3.0890516006624386e-06,7.861085300053613e-05,c
c301,11,ao,high,3.2609950279859337e-06,0.00018472407218278293,c
c302,0,vo,low,1.3295569665640013e-07,1.4607575742515425e-05,c
c302,1,vo,low,1.2948896359658775e-07,1.5460173273228544e-05,c
c302,2,vo,high,1.0030269059013144e-07,1.3072857913361918e-05,c
c302,3,vo,high,1.95071475038048e-07,1.699046328929171e-05,c
c302,4,va,low,2.4716126929822044e-07,1.9835477785925182e-05,c
c302,5,va,low,1.1722053125268207e-07,1.2833066379346685e-05,c
c302,6,va,high,1.7609351807774792e-07,1.580194470891637e-05,c
c302,7,va,high,1.3610199020961432e-07,1.2630590440953265e-05,c
c302,8,ao,low,1.8722241233594594e-07,2.198398956054336e-05,c
c302,9,ao,low,1.5803454158187545e-07,2.946741488679666e-05,c
c302,10,ao,high,1.9324717447462154e-06,0.0001082171422637674,c
c302,11,ao,high,9.96915612546926e-07,0.00015040159172375844,c
c303,0,vo,low,1.4601422197775695e-07,1.0258464250368734e-05,c
c303,1,vo,low,1.340822076783543e-07,1.008358524479344e-05,c
c303,2,vo,high,1.728841865597988e-07,1.1757944074541783e-05,c
c303,3,vo,high,1.890241132313066e-07,1.2053543433633417e-05,c
c303,4,va,low,1.2126790629111331e-07,7.473667702882581e-06,c
c303,5,va,low,3.8319060852052516e-07,1.6481182827577432e-05,c
c303,6,va,high,1.8061631736025705e-07,9.851232930918771e-06,c
c303,7,va,high,2.0200450268993982e-07,1.1126949005150288e-05,c
c303,8,ao,low,2.1522858495235617e-07,6.500283885796198e-06,c
c303,9,ao,low,5.52615106474729e-07,2.6149785552376213e-05,c
c303,10,ao,high,7.080795465661862e-07,4.9409937734840395e-05,c
c303,11,ao,high,2.0518760166551456e-07,1.6207692557707183e-05,c
c304,0,vo,low,3.381675964668916e-08,8.464742487283137e-06,c
c304,1,vo,low,3.314753474806982e-08,7.659341817974386e-06,c
c304,2,vo,high,2.8314729761904447e-08,8.999188852201694e-06,c
c304,3,vo,high,2.788686183743378e-08,8.744516567978078e-06,c
c304,4,va,low,3.218165739860547e-08,9.065829363951775e-06,c
c304,5,va,low,3.864426640844992e-08,7.562341223873552e-06,c
c304,6,va,high,2.648097656374169e-08,9.077918428348272e-06,c
c304,7,va,high,2.62535779405142e-08,8.88635126598702e-06,c
c304,8,ao,low,4.999401385092827e-07,6.146915749128263e-05,c
c304,9,ao,low,4.5102481793077935e-08,1.2598547296993968e-05,c
c304,10,ao,high,1.8846392002018288e-07,2.4996377267722155e-05,c
c304,11,ao,high,2.534932467599508e-08,7.713021053169215e-06,c
c305,0,vo,low,2.4458734352933233e-08,9.312762601448209e-06,c
c305,1,vo,low,2.597037116056686e-08,1.0159367370804811e-05,c
c305,2,vo,high,2.7848481884847224e-08,1.0133031388675829e-05,c
c305,3,vo,high,2.5758656473278318e-08,9.785114437106618e-06,c
c305,4,va,low,2.409498875795368e-08,9.905441610705853e-06,c
c305,5,va,low,3.0046511672201764e-08,1.0854149512683846e-05,c
c305,6,va,high,2.996473185336387e-08,1.0244269417925322e-05,c
c305,7,va,high,2.7666841354750522e-08,1.0006486656647891e-05,c
c305,8,ao,low,3.886348965121366e-07,0.00014067215068149533,c
c305,9,ao,low,2.2635535709583422e-07,3.4811964535157435e-05,c
c305,10,ao,high,4.4225405320890555e-07,0.00017316929844921912,c
c305,11,ao,high,1.5319186335121657e-07,3.604077088645819e-05,c
c306,0,vo,low,1.3061760900252318e-07,2.633665200387185e-05,c
c306,1,vo,high,4.1771836416553425e-08,1.0343383895552953e-05,c
c306,2,vo,high,3.754612555253483e-08,1.1231223685566607e-05,c
c306,3,vo,low,5.516794217888615e-08,9.504122496194861e-06,c
c306,4,va,low,4.4606885416000125e-08,1.1191569300214126e-05,c
c306,5,va,high,4.522851477671185e-08,9.976436431539104e-06,c
c306,6,va,high,3.794379593223953e-08,1.0861439566851383e-05,c
c306,7,va,low,6.580670180577997e-08,9.895667081849562e-06,c
c306,8,ao,low,6.402034444834988e-08,1.1970651503053038e-05,c
c306,9,ao,high,4.9444793930948866e-08,1.1177698118176339e-05,c
c306,10,ao,high,4.4859131982230586e-08,1.0627420764488044e-05,c
c306,11,ao,low,4.297710234896679e-08,9.788579394091371e-06,c
c307,0,vo,low,3.960157913704098e-08,8.094836976680636e-06,c
c307,1,vo,high,4.731623150258125e-08,8.938209451078671e-06,c
c307,2,vo,low,6.549230169147598e-08,7.085577927533482e-06,c
c307,3,vo,high,7.231137782761945e-08,1.3965490702683484e-05,c
c307,4,va,low,5.597149497342577e-08,1.0759405768893475e-05,c
c307,5,va,high,1.7172171296667153e-07,2.2960862995575355e-05,c
c307,6,va,low,3.976630215160218e-08,8.582346249981463e-06,c
c307,7,va,high,4.2527636790253674e-08,1.0730625427554732e-05,c
c307,8,ao,low,2.9859832984953324e-07,3.3986149769172165e-05,c
c307,9,ao,high,2.1733447163891253e-06,0.0005268619519930611,c
c307,10,ao,low,2.7296752330329495e-08,2.384354277158343e-06,c
c307,11,ao,high,2.596547968318674e-07,2.550072007657047e-05,c
c308,0,vo,high,1.046143218805016e-07,1.1094367501751704e-05,c
c308,1,vo,high,1.049367916088591e-07,1.2665189977905123e-05,c
c308,2,vo,low,1.7455052111068256e-07,1.1544242420591303e-05,c
c308,3,vo,low,2.1497297177113475e-07,1.1571939612649912e-05,c
c308,4,va,high,1.4982500246510684e-07,1.2327473519575674e-05,c
c308,5,va,high,1.2503643002020362e-07,1.1408165218159146e-05,c
c308,6,va,low,1.8259225287680085e-07,1.2628296616696113e-05,c
c308,7,va,low,7.628480985093539e-07,1.8276313795296844e-05,c
c308,8,ao,high,3.39607171608919e-07,1.767178944983883e-05,c
c308,9,ao,high,3.8754072147005565e-07,1.637270138350693e-05,c
c308,10,ao,low,1.1330156553204767e-06,2.3564194312918444e-05,c
c308,11,ao,low,1.0573631373031874e-06,6.12720404931606e-05,c
c309,0,vo,high,6.924304372623809e-08,1.4049895660650929e-05,c
c309,1,vo,low,6.070488561335802e-08,1.0011029046326824e-05,c
c309,2,vo,low,5.767400652709377e-08,1.1528522744530785e-05,c
c309,3,vo,high,6.721929042364663e-08,1.2608007191408239e-05,c
c309,4,va,high,5.329183223418549e-08,1.3026060453121823e-05,c
c309,5,va,low,6.808742937694442e-08,1.0605678860504123e-05,c
c309,6,va,low,9.15183787303558e-08,1.2221887132051271e-05,c
c309,7,va,high,6.805431639537524e-08,1.2047183637687513e-05,c
c309,8,ao,high,6.128874952270832e-08,1.0957701617832137e-05,c
c309,9,ao,low,8.337129281393262e-08,1.0488216199959316e-05,c
c309,10,ao,low,6.859533034108227e-08,1.5716961577441126e-05,c
c309,11,ao,high,6.391745500335368e-08,1.2130676353055677e-05,c
c310,0,vo,high,1.9152742795163369e-07,1.4620988981534247e-05,c
c310,1,vo,low,2.1809443760550006e-07,1.3651778074759782e-05,c
c310,2,vo,low,2.4016310411145973e-07,1.2251640175372321e-05,c
c310,3,vo,high,2.3533825213226753e-07,1.1534984308048985e-05,c
c310,4,va,high,1.5597652209233952e-07,1.2751128130803751e-05,c
c310,5,va,low,1.917869852645604e-07,1.1857417455287586e-05,c
c310,6,va,low,2.709983381664488e-07,1.5129742750308393e-05,c
c310,7,va,high,6.984691284686672e-08,1.0121328568124116e-05,c
c310,8,ao,high,1.5143709815816877e-06,0.0001029313331736183,c
c310,9,ao,low,5.14524923413564e-07,1.8301804032120295e-05,c
c310,10,ao,low,2.453292431188689e-07,2.0574859616679687e-05,c
c310,11,ao,high,2.722842757805364e-07,1.2497873101056035e-05,c
p200,0,vo,high,1.8367296765876806e-07,9.170731593473226e-06,p
p200,1,vo,low,1.5367367588308573e-07,1.142886880051515e-05,p
p200,2,vo,high,2.5428762280334784e-07,1.1965266539824222e-05,p
p200,3,vo,low,1.1477864952298504e-07,1.0794462147201005e-05,p
p200,4,va,high,2.5864149324159604e-07,9.438673784517561e-06,p
p200,5,va,low,1.4807589706940086e-07,9.950481314536351e-06,p
p200,6,va,high,1.3087442575982068e-07,1.0399600511569378e-05,p
p200,7,va,low,1.1859620120785852e-07,8.727343066796474e-06,p
